fixture                                                                                   path                           chose         status
bond_retaliation_THUNDERBOLT                                                              strategy/bond-retaliation      (none)        OK
bond_retaliation_COUNTER                                                                  strategy/bond-retaliation      (none)        OK
bond_retaliation_MIRROR_COAT                                                              strategy/bond-retaliation      (none)        OK
bond_retaliation_HIDDEN_POWER                                                             strategy/bond-retaliation      (none)        OK
bond_retaliation_PROTECT                                                                  strategy/bond-retaliation      (none)        OK
bond_retaliation_SWIFT                                                                    strategy/bond-retaliation      (none)        OK
choice_regret_alive0                                                                      strategy/choice-memory         (none)        OK
choice_regret_alive1                                                                      strategy/choice-memory         (none)        OK
dominance_type_scale0                                                                     strategy/dominance             (none)        OK
dominance_type_scale2                                                                     strategy/dominance             (none)        OK
dominance_type_scale5                                                                     strategy/dominance             (none)        OK
dominance_type_scale10                                                                    strategy/dominance             (none)        OK
dominance_type_scale20                                                                    strategy/dominance             (none)        OK
available_alternative_BossAI_ApplyDamageDominanceBias_ppFalse                             strategy/dominance             (none)        OK
available_alternative_BossAI_ApplyMoveModel.HasStrongMatchupDamagingMove_ppFalse          strategy/dominance             (none)        OK
available_alternative_BossAI_ApplyDamageDominanceBias_ppTrue                              strategy/dominance             (none)        OK
available_alternative_BossAI_ApplyMoveModel.HasStrongMatchupDamagingMove_ppTrue           strategy/dominance             (none)        OK
status_failure_stays_blocked                                                              strategy/hard-block            PSYCHIC_M     OK
perish_trapped_mean_look                                                                  strategy/perish                (none)        OK
perish_trapped_wrap                                                                       strategy/perish                (none)        OK
revealed_mask_fullFalse_taintedFalse                                                      strategy/revealed-mask         (none)        OK
revealed_mask_fullTrue_taintedFalse                                                       strategy/revealed-mask         (none)        OK
revealed_mask_fullTrue_taintedTrue                                                        strategy/revealed-mask         (none)        OK
coach_visible_STEEL_stale_NORMAL                                                          strategy/coach-context         (none)        OK
coach_visible_NORMAL_stale_STEEL                                                          strategy/coach-context         (none)        OK
fixed_ko_DRAGON_RAGE_20_39_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_39_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_41_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_41_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_256_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure  strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_256_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                   strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_STEEL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure    strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_STEEL_subFalse_idFalse_BossAI_HasAnyKOMove                     strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_DRAGON_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_40_DRAGON_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_1_NORMAL_subTrue_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_DRAGON_RAGE_20_1_NORMAL_subTrue_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_21_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_21_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_GHOST_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure      strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_GHOST_subFalse_idFalse_BossAI_HasAnyKOMove                       strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_GHOST_subFalse_idTrue_BossAI_CurrentEnemyMoveHasKOPressure       strategy/fixed-damage          (none)        OK
fixed_ko_SONICBOOM_20_20_GHOST_subFalse_idTrue_BossAI_HasAnyKOMove                        strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_25_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure  strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_25_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                   strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure  strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                   strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_27_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure  strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_27_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                   strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_GHOST_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_GHOST_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_GHOST_subFalse_idTrue_BossAI_CurrentEnemyMoveHasKOPressure    strategy/fixed-damage          (none)        OK
fixed_ko_SEISMIC_TOSS_26_26_GHOST_subFalse_idTrue_BossAI_HasAnyKOMove                     strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_STEEL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure    strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_STEEL_subFalse_idFalse_BossAI_HasAnyKOMove                     strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_WATER_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure    strategy/fixed-damage          (none)        OK
fixed_ko_NIGHT_SHADE_26_26_WATER_subFalse_idFalse_BossAI_HasAnyKOMove                     strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_1_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_1_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_2_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_2_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_255_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_255_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_256_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure   strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_256_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                    strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_0_NORMAL_subFalse_idFalse_BossAI_CurrentEnemyMoveHasKOPressure     strategy/fixed-damage          (none)        OK
fixed_ko_SUPER_FANG_20_0_NORMAL_subFalse_idFalse_BossAI_HasAnyKOMove                      strategy/fixed-damage          (none)        OK
fixed_ko_available_False                                                                  strategy/fixed-damage          (none)        OK
fixed_ko_available_True                                                                   strategy/fixed-damage          (none)        OK
fixed_lookahead_DRAGON_RAGE_40                                                            strategy/fixed-damage          (none)        OK
fixed_lookahead_DRAGON_RAGE_41                                                            strategy/fixed-damage          (none)        OK
fixed_lookahead_TACKLE_40                                                                 strategy/fixed-damage          (none)        OK
fixed_lookahead_TACKLE_41                                                                 strategy/fixed-damage          (none)        OK
damage_kernel_basic_0_TACKLE                                                              strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_EMBER                                                               strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_SURF                                                                strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_THUNDERBOLT                                                         strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_DRAGON_RAGE                                                         strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_SEISMIC_TOSS                                                        strategy/damage-kernel         (none)        OK
damage_kernel_basic_0_SUPER_FANG                                                          strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_TACKLE                                                              strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_EMBER                                                               strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_SURF                                                                strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_THUNDERBOLT                                                         strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_DRAGON_RAGE                                                         strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_SEISMIC_TOSS                                                        strategy/damage-kernel         (none)        OK
damage_kernel_basic_1_SUPER_FANG                                                          strategy/damage-kernel         (none)        OK
damage_adapter_basic_0_TACKLE                                                             strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_EMBER                                                              strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_SURF                                                               strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_THUNDERBOLT                                                        strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_DRAGON_RAGE                                                        strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_SEISMIC_TOSS                                                       strategy/damage-adapter        (none)        OK
damage_adapter_basic_0_SUPER_FANG                                                         strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_TACKLE                                                             strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_EMBER                                                              strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_SURF                                                               strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_THUNDERBOLT                                                        strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_DRAGON_RAGE                                                        strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_SEISMIC_TOSS                                                       strategy/damage-adapter        (none)        OK
damage_adapter_basic_1_SUPER_FANG                                                         strategy/damage-adapter        (none)        OK
damage_item_1_CUBONE_THICK_CLUB_TACKLE_0                                                  strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_THICK_CLUB_TACKLE_0                                                 strategy/damage-adapter        (none)        OK
damage_item_1_PIKACHU_LIGHT_BALL_THUNDERBOLT_0                                            strategy/damage-adapter        (none)        OK
damage_item_1_PIKACHU_LIGHT_BALL_TACKLE_0                                                 strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHOICE_BAND_TACKLE_0                                                strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHOICE_BAND_SURF_0                                                  strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHOICE_SPECS_SURF_0                                                 strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHOICE_SPECS_TACKLE_0                                               strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_LIFE_ORB_TACKLE_0                                                   strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_MUSCLE_BAND_TACKLE_0                                                strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_WISE_GLASSES_SURF_0                                                 strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_EXPERT_BELT_DYNAMICPUNCH_0                                          strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_EXPERT_BELT_TACKLE_0                                                strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHARCOAL_EMBER_0                                                    strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_CHARCOAL_SURF_0                                                     strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_METRONOME_ITEM_TACKLE_0                                             strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_METRONOME_ITEM_TACKLE_5                                             strategy/damage-adapter        (none)        OK
damage_item_1_SNORLAX_METRONOME_ITEM_TACKLE_8                                             strategy/damage-adapter        (none)        OK
damage_item_0_DRATINI_EVOLITE_TACKLE_0                                                    strategy/damage-adapter        (none)        OK
damage_item_0_DRATINI_EVOLITE_SURF_0                                                      strategy/damage-adapter        (none)        OK
damage_item_0_SNORLAX_EVOLITE_TACKLE_0                                                    strategy/damage-adapter        (none)        OK
damage_item_0_SNORLAX_ASSAULT_VEST_SURF_0                                                 strategy/damage-adapter        (none)        OK
damage_item_0_SNORLAX_ASSAULT_VEST_TACKLE_0                                               strategy/damage-adapter        (none)        OK
damage_item_0_DITTO_METAL_POWDER_TACKLE_0                                                 strategy/damage-adapter        (none)        OK
damage_item_0_DITTO_METAL_POWDER_SURF_0                                                   strategy/damage-adapter        (none)        OK
damage_stage_0_1_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_0_1_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_0_6_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_0_6_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_0_7_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_0_7_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_0_8_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_0_8_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_0_13_False                                                                   strategy/damage-adapter        (none)        OK
damage_stage_0_13_True                                                                    strategy/damage-adapter        (none)        OK
damage_stage_1_1_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_1_1_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_1_6_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_1_6_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_1_7_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_1_7_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_1_8_False                                                                    strategy/damage-adapter        (none)        OK
damage_stage_1_8_True                                                                     strategy/damage-adapter        (none)        OK
damage_stage_1_13_False                                                                   strategy/damage-adapter        (none)        OK
damage_stage_1_13_True                                                                    strategy/damage-adapter        (none)        OK
damage_burn_('NORMAL', 'NORMAL')_False                                                    strategy/damage-adapter        (none)        OK
damage_burn_('NORMAL', 'NORMAL')_True                                                     strategy/damage-adapter        (none)        OK
damage_burn_('FIGHTING', 'NORMAL')_False                                                  strategy/damage-adapter        (none)        OK
damage_burn_('FIGHTING', 'NORMAL')_True                                                   strategy/damage-adapter        (none)        OK
damage_burn_('FIGHTING', 'FIGHTING')_False                                                strategy/damage-adapter        (none)        OK
damage_burn_('FIGHTING', 'FIGHTING')_True                                                 strategy/damage-adapter        (none)        OK
damage_passive_NORMAL_False                                                               strategy/damage-adapter        (none)        OK
damage_passive_NORMAL_True                                                                strategy/damage-adapter        (none)        OK
damage_passive_FIRE_False                                                                 strategy/damage-adapter        (none)        OK
damage_passive_FIRE_True                                                                  strategy/damage-adapter        (none)        OK
damage_passive_GHOST_False                                                                strategy/damage-adapter        (none)        OK
damage_passive_GHOST_True                                                                 strategy/damage-adapter        (none)        OK
damage_passive_DRAGON_False                                                               strategy/damage-adapter        (none)        OK
damage_passive_DRAGON_True                                                                strategy/damage-adapter        (none)        OK
damage_passive_GROUND_False                                                               strategy/damage-adapter        (none)        OK
damage_passive_GROUND_True                                                                strategy/damage-adapter        (none)        OK
damage_passive_BUG_False                                                                  strategy/damage-adapter        (none)        OK
damage_passive_BUG_True                                                                   strategy/damage-adapter        (none)        OK
damage_passive_WATER_False                                                                strategy/damage-adapter        (none)        OK
damage_passive_WATER_True                                                                 strategy/damage-adapter        (none)        OK
damage_passive_ICE_False                                                                  strategy/damage-adapter        (none)        OK
damage_passive_ICE_True                                                                   strategy/damage-adapter        (none)        OK
damage_multihit_SPIKE_CANNON_100                                                          strategy/damage-adapter        (none)        OK
damage_multihit_SPIKE_CANNON_51                                                           strategy/damage-adapter        (none)        OK
damage_multihit_SPIKE_CANNON_49                                                           strategy/damage-adapter        (none)        OK
damage_multihit_DOUBLE_KICK_100                                                           strategy/damage-adapter        (none)        OK
damage_multihit_DOUBLE_KICK_51                                                            strategy/damage-adapter        (none)        OK
damage_multihit_DOUBLE_KICK_49                                                            strategy/damage-adapter        (none)        OK
damage_multihit_TWINEEDLE_100                                                             strategy/damage-adapter        (none)        OK
damage_multihit_TWINEEDLE_51                                                              strategy/damage-adapter        (none)        OK
damage_multihit_TWINEEDLE_49                                                              strategy/damage-adapter        (none)        OK
damage_postroll_EARTHQUAKE_wPlayerSubStatus3_0                                            strategy/damage-adapter        (none)        OK
damage_postroll_EARTHQUAKE_wPlayerSubStatus3_32                                           strategy/damage-adapter        (none)        OK
damage_postroll_GUST_wPlayerSubStatus3_0                                                  strategy/damage-adapter        (none)        OK
damage_postroll_GUST_wPlayerSubStatus3_64                                                 strategy/damage-adapter        (none)        OK
damage_postroll_TWISTER_wPlayerSubStatus3_64                                              strategy/damage-adapter        (none)        OK
damage_postroll_STOMP_wPlayerMinimized_0                                                  strategy/damage-adapter        (none)        OK
damage_postroll_STOMP_wPlayerMinimized_1                                                  strategy/damage-adapter        (none)        OK
damage_postroll_PURSUIT_wPlayerMinimized_0                                                strategy/damage-adapter        (none)        OK
damage_postroll_FALSE_SWIPE_wPlayerMinimized_0                                            strategy/damage-adapter        (none)        OK
damage_outrage_raw_DRATINI_1                                                              strategy/damage-adapter        (none)        OK
damage_outrage_raw_DRATINI_13                                                             strategy/damage-adapter        (none)        OK
damage_outrage_raw_ABRA_1                                                                 strategy/damage-adapter        (none)        OK
damage_outrage_raw_ABRA_13                                                                strategy/damage-adapter        (none)        OK
damage_outrage_raw_MEW_1                                                                  strategy/damage-adapter        (none)        OK
damage_outrage_raw_MEW_13                                                                 strategy/damage-adapter        (none)        OK
damage_transform_0_THUNDERBOLT                                                            strategy/damage-adapter        (none)        OK
damage_transform_0_DRAGON_RAGE                                                            strategy/damage-adapter        (none)        OK
damage_transform_1_THUNDERBOLT                                                            strategy/damage-adapter        (none)        OK
damage_transform_1_DRAGON_RAGE                                                            strategy/damage-adapter        (none)        OK
damage_private_invariance_0_TACKLE                                                        strategy/damage-adapter        (none)        OK
damage_private_invariance_0_SURF                                                          strategy/damage-adapter        (none)        OK
damage_private_invariance_0_OUTRAGE                                                       strategy/damage-adapter        (none)        OK
damage_private_invariance_1_TACKLE                                                        strategy/damage-adapter        (none)        OK
damage_private_invariance_1_SURF                                                          strategy/damage-adapter        (none)        OK
damage_private_invariance_1_OUTRAGE                                                       strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_7_7_False_False                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_7_7_False_True                                                      strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_1_13_False_False                                                    strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_1_13_False_True                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_13_1_False_False                                                    strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_13_1_False_True                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_1_13_True_False                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_0_1_13_True_True                                                      strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_7_7_False_False                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_7_7_False_True                                                      strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_1_13_False_False                                                    strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_1_13_False_True                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_13_1_False_False                                                    strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_13_1_False_True                                                     strategy/damage-adapter        (none)        OK
damage_hit_accuracy_1_1_13_True_False                                                     strategy/damage-adapter        (none)        OK
